,dataset,k,weights,scaling,metric,mean,std
170,Bike_Sharing_Demand,7,distance,0,r2,0.6126975270083804,0.0169820919707092
175,Bike_Sharing_Demand,10,distance,1,r2,0.6654813830784623,0.0192825965198488
3,Brazilian_houses,2,distance,1,r2,0.97545172545777,0.0073805575126763
6,Brazilian_houses,5,distance,0,r2,0.9719761128656254,0.0064732454489356
334,MiamiHousing2016,7,distance,1,r2,0.8996507124900974,0.0120047459971039
333,MiamiHousing2016,7,distance,0,r2,0.8841631787484141,0.007496779578076
78,ailerons,10,distance,0,r2,0.7438429259079954,0.0134674407056247
79,ailerons,10,distance,1,r2,0.7749661453996035,0.0221545828446279
389,cpu,2,distance,0,r2,0.936131903727016,0.0289906404232395
394,cpu,5,distance,1,r2,0.9732264186561016,0.0100808396617766
451,diamond,25,uniform,0,r2,0.9414295789422772,0.0017452415885006
452,diamond,25,uniform,1,r2,0.9419544809401362,0.0016740982341227
143,house_16H,10,distance,1,r2,0.4549562571304715,0.0589273972752818
142,house_16H,10,distance,0,r2,0.4572875225664181,0.068412962317002
243,house_sales,10,distance,1,r2,0.8595261249714132,0.0098068169576841
246,house_sales,25,distance,0,r2,0.8129025265708343,0.0106113216245028
111,houses,10,distance,1,r2,0.7851024413815568,0.0126541885652428
106,houses,7,distance,0,r2,0.7481056516176903,0.0093055392775776
321,medical_charges,20,uniform,1,r2,0.9775467316589804,0.0015140344936927
320,medical_charges,20,uniform,0,r2,0.9777720010924624,0.0006673993127943
227,nyc-taxi-green-dec-2016,25,distance,1,r2,0.5383010841398679,0.0313914928176856
226,nyc-taxi-green-dec-2016,25,distance,0,r2,0.4176249143658858,0.0067977371046207
461,pol,5,distance,0,r2,0.9366703767094255,0.0058472176783467
462,pol,5,distance,1,r2,0.8938303190357605,0.0496915238859218
262,sulfur,2,distance,0,r2,0.8952447379465964,0.0563637108481808
263,sulfur,2,distance,1,r2,0.8921759054270098,0.054238975196076
361,superconduct,5,distance,0,r2,0.9106033202026136,0.0075838071987056
362,superconduct,5,distance,1,r2,0.9110774815500424,0.0078801404357391
50,wine,25,distance,0,r2,0.5015425957855136,0.0383190374156631
51,wine,25,distance,1,r2,0.501176573373196,0.0386283865504982
